time_range,city,outdoor_temperature,outdoor_humidity,outdoor_wind_speed,outdoor_pm2_5,outdoor_pm10,outdoor_co,outdoor_no2,outdoor_o3,indoor_humidity,indoor_temperature
"2024-11-29 [00:30, 00:45)",London,2.2,93,9.7,18.5,27.195,368.15,64.935,20.0,24,28
"2024-11-29 [00:45, 01:00)",London,1.3,100,9.7,18.5,27.195,368.15,64.935,20.0,25,28
"2024-11-29 [01:00, 01:15)",London,1.3,100,9.7,18.5,27.195,368.15,64.935,20.0,26,28
"2024-11-29 [01:15, 01:30)",London,3.0,93,9.7,18.5,27.195,368.15,64.935,20.0,26,28
"2024-11-29 [01:30, 01:45)",London,3.1,93,9.7,18.5,27.195,368.15,64.935,20.0,26,27
"2024-11-29 [01:45, 02:00)",London,2.1,100,9.7,18.5,27.195,368.15,64.935,20.0,26,27
"2024-11-29 [02:00, 02:15)",London,2.4,100,10.8,15.91,25.53,342.25,40.885,40.0,26,27
"2024-11-29 [02:15, 02:30)",London,2.2,100,10.8,15.91,25.53,342.25,40.885,40.0,26,27
"2024-11-29 [02:30, 02:45)",London,2.4,100,10.8,15.91,25.53,342.25,40.885,40.0,26,27
"2024-11-29 [02:45, 03:00)",London,2.1,100,10.8,15.91,25.53,342.25,40.885,40.0,26,27
"2024-11-29 [03:15, 03:30)",London,3.2,87,10.8,15.54,23.31,338.55,34.965,44.0,26,26
"2024-11-29 [03:30, 03:45)",London,2.2,93,10.8,15.54,23.31,338.55,34.965,44.0,26,26
"2024-11-29 [03:45, 04:00)",London,2.1,93,10.8,15.54,23.31,338.55,34.965,44.0,26,26
"2024-11-29 [04:30, 04:45)",London,2.3,93,10.8,15.54,21.09,331.15,31.45,46.0,27,26
"2024-11-29 [04:15, 04:30)",London,2.3,93,10.8,15.54,21.09,331.15,31.45,46.0,27,26
"2024-11-29 [04:45, 05:00)",London,2.2,100,10.8,15.54,21.09,331.15,31.45,46.0,27,26
"2024-11-29 [05:00, 05:15)",London,2.4,100,11.5,14.985,19.24,318.2,30.155,47.0,27,26
"2024-11-29 [05:15, 05:30)",London,2.3,100,11.5,14.985,19.24,318.2,30.155,47.0,27,26
"2024-11-29 [05:30, 05:45)",London,2.4,100,11.9,14.985,19.24,318.2,30.155,47.0,27,26
"2024-11-29 [05:45, 06:00)",London,2.2,100,11.9,14.985,19.24,318.2,30.155,47.0,27,26
"2024-11-29 [06:00, 06:15)",London,2.2,100,12.6,16.65,21.645,323.75,39.775,47.0,27,26
"2024-11-29 [06:15, 06:30)",London,3.2,100,12.6,16.65,21.645,323.75,39.775,47.0,27,25
"2024-11-29 [06:30, 06:45)",London,3.2,100,12.6,16.65,21.645,323.75,39.775,47.0,27,25
"2024-11-29 [07:00, 07:15)",London,3.2,100,13.0,17.575,25.53,351.5,65.86,33.0,27,25
"2024-11-29 [07:15, 07:30)",London,4.2,93,13.0,17.575,25.53,351.5,65.86,33.0,27,25
"2024-11-29 [07:45, 08:00)",London,4.1,93,13.0,17.575,25.53,351.5,65.86,33.0,27,25
"2024-11-29 [08:00, 08:15)",London,4.4,93,12.6,20.905,27.01,386.65,91.39,25.0,27,25
"2024-11-29 [08:15, 08:30)",London,4.3,93,12.6,20.905,27.01,386.65,91.39,25.0,27,25
"2024-11-29 [08:45, 09:00)",London,4.4,93,12.6,20.905,27.01,386.65,91.39,25.0,28,25
"2024-11-29 [09:00, 09:15)",London,4.1,93,14.0,19.055,24.42,386.65,83.25,26.0,29,26
"2024-11-29 [09:15, 09:30)",London,5.2,93,14.0,19.055,24.42,386.65,83.25,26.0,28,25
"2024-11-29 [09:30, 09:45)",London,6.2,87,14.0,19.055,24.42,386.65,83.25,26.0,27,23
"2024-11-29 [09:45, 10:00)",London,6.3,87,14.0,19.055,24.42,386.65,83.25,26.0,27,23
"2024-11-29 [10:00, 10:15)",London,7.4,81,14.8,15.725,23.865,355.2,54.39,41.0,28,22
"2024-11-29 [10:15, 10:30)",London,7.4,81,14.8,15.725,23.865,355.2,54.39,41.0,29,22
"2024-11-29 [10:30, 10:45)",London,8.2,81,14.8,15.725,23.865,355.2,54.39,41.0,29,21
"2024-11-29 [10:45, 11:00)",London,8.4,81,14.8,15.725,23.865,355.2,54.39,41.0,29,21
"2024-11-29 [11:00, 11:15)",London,8.2,81,15.5,15.91,22.57,347.8,43.105,58.0,29,21
"2024-11-29 [11:30, 11:45)",London,9.1,76,15.5,15.91,22.57,347.8,43.105,58.0,29,21
"2024-11-29 [11:45, 12:00)",London,10.1,71,15.5,15.91,22.57,347.8,43.105,58.0,30,21
"2024-11-29 [12:00, 12:15)",London,10.3,71,16.2,13.135,20.165,336.7,34.04,58.0,30,21
"2024-11-29 [12:15, 12:30)",London,11.1,66,16.2,13.135,20.165,336.7,34.04,58.0,30,21
"2024-11-29 [12:45, 13:00)",London,11.1,62,16.2,13.135,20.165,336.7,34.04,58.0,30,22
"2024-11-29 [13:00, 13:15)",London,11.2,62,16.2,12.025,19.24,340.4,38.665,59.0,30,23
"2024-11-29 [13:15, 13:30)",London,9.4,66,16.2,12.025,19.24,340.4,38.665,59.0,30,23
"2024-11-29 [13:30, 13:45)",London,11.3,62,16.2,12.025,19.24,340.4,38.665,59.0,30,23
"2024-11-29 [13:45, 14:00)",London,11.2,62,16.2,12.025,19.24,340.4,38.665,59.0,30,23
"2024-11-29 [14:15, 14:30)",London,11.1,58,16.6,11.655,19.425,340.4,43.845,56.0,30,23
"2024-11-29 [14:30, 14:45)",London,11.2,54,16.6,11.655,19.425,340.4,43.845,56.0,30,23
"2024-11-29 [14:45, 15:00)",London,11.1,54,16.6,11.655,19.425,340.4,43.845,56.0,29,23
"2024-11-29 [15:00, 15:15)",London,11.4,54,15.8,13.135,20.35,353.35,59.015,50.0,29,23
"2024-11-29 [15:15, 15:30)",London,10.2,58,15.8,13.135,20.35,353.35,59.015,50.0,29,23
"2024-11-29 [16:00, 16:15)",London,10.2,58,15.1,14.985,21.275,368.15,80.66,39.0,28,23
"2024-11-29 [15:45, 16:00)",London,10.2,58,15.8,13.135,20.35,353.35,59.015,50.0,28,23
"2024-11-29 [16:15, 16:30)",London,9.3,62,15.1,14.985,21.275,368.15,80.66,39.0,29,23
"2024-11-29 [16:30, 16:45)",London,8.3,66,15.1,14.985,21.275,368.15,80.66,39.0,30,24
"2024-11-29 [16:45, 17:00)",London,8.2,66,15.1,14.985,21.275,368.15,80.66,39.0,31,24
"2024-11-29 [17:00, 17:15)",London,8.0,66,15.5,17.76,24.42,401.45,102.49,28.0,31,24
"2024-11-29 [17:15, 17:30)",London,8.0,66,11.2,18.5,24.975,355.2,44.4,40.0,31,24
"2024-11-29 [17:30, 17:45)",London,7.2,70,15.8,17.76,24.42,401.45,102.49,28.0,31,24
"2024-11-29 [17:45, 18:00)",London,7.3,70,15.8,17.76,24.42,401.45,102.49,28.0,31,24
"2024-11-29 [18:15, 18:30)",London,7.4,76,15.1,18.685,26.27,429.2,107.485,18.0,31,24
"2024-11-29 [18:30, 18:45)",London,7.3,76,15.1,18.685,26.27,429.2,107.485,18.0,31,24
"2024-11-29 [18:45, 19:00)",London,7.3,76,15.1,18.685,26.27,429.2,107.485,18.0,31,24
"2024-11-29 [19:15, 19:30)",London,7.1,76,14.8,19.61,27.75,397.75,98.79,14.0,31,24
"2024-11-29 [19:45, 20:00)",London,6.4,81,14.8,19.61,27.75,397.75,98.79,14.0,30,24
"2024-11-29 [20:15, 20:30)",London,7.1,76,14.8,18.87,26.085,381.1,89.54,14.0,30,24
"2024-11-29 [20:45, 21:00)",London,7.0,76,14.8,18.87,26.085,381.1,89.54,14.0,30,24
"2024-11-29 [21:00, 21:15)",London,7.2,76,14.0,18.5,27.195,373.7,83.065,16.0,30,25
"2024-11-29 [21:15, 21:30)",London,8.3,76,14.0,18.5,27.195,373.7,83.065,16.0,30,25
"2024-11-29 [21:30, 21:45)",London,8.0,76,14.0,18.5,27.195,373.7,83.065,16.0,30,25
"2024-11-29 [21:45, 22:00)",London,8.4,76,14.0,18.5,27.195,373.7,83.065,16.0,30,25
"2024-11-29 [22:00, 22:15)",London,8.0,76,12.6,17.945,27.38,358.9,67.34,22.0,30,25
"2024-11-29 [22:15, 22:30)",London,8.0,76,12.6,17.945,27.38,358.9,67.34,22.0,30,25
"2024-11-29 [22:30, 22:45)",London,8.2,76,12.6,17.945,27.38,358.9,67.34,22.0,30,25
"2024-11-29 [22:45, 23:00)",London,7.3,81,12.6,17.945,27.38,358.9,67.34,22.0,30,25
"2024-11-29 [23:00, 23:15)",London,7.3,81,12.6,17.205,21.46,353.35,58.46,31.0,30,25
"2024-11-29 [23:15, 23:30)",London,8.1,76,13.0,17.205,21.46,353.35,58.46,31.0,30,25
"2024-11-29 [23:30, 23:45)",London,7.0,81,13.0,17.205,21.46,353.35,58.46,31.0,30,25
"2024-11-29 [23:45, 00:00)",London,7.1,87,13.0,17.205,21.46,353.35,58.46,31.0,30,25
"2024-11-30 [00:00, 00:15)",London,7.2,87,11.9,12.95,20.72,325.6,57.165,39.0,30,25
"2024-11-30 [00:15, 00:30)",London,8.4,81,11.9,12.95,20.72,325.6,57.165,39.0,30,25
"2024-11-30 [00:30, 00:45)",London,8.4,81,11.9,12.95,20.72,325.6,57.165,39.0,30,25
"2024-11-30 [00:45, 01:00)",London,8.2,81,11.9,12.95,20.72,325.6,57.165,39.0,30,25
"2024-11-30 [01:15, 01:30)",London,8.0,87,11.9,12.95,20.72,325.6,57.165,39.0,30,25
"2024-11-30 [01:30, 01:45)",London,8.3,87,11.9,12.95,20.72,325.6,57.165,39.0,30,25
"2024-11-30 [01:45, 02:00)",London,9.3,81,11.9,12.95,20.72,325.6,57.165,39.0,30,25
"2024-11-30 [02:00, 02:15)",London,9.3,81,9.7,12.025,16.095,312.65,40.515,45.0,30,25
"2024-11-30 [02:15, 02:30)",London,9.0,81,9.7,12.025,16.095,312.65,40.515,45.0,30,25
"2024-11-30 [02:30, 02:45)",London,9.1,81,9.7,12.025,16.095,312.65,40.515,45.0,30,25
"2024-11-30 [03:00, 03:15)",London,9.2,87,9.7,12.025,15.91,308.95,39.22,43.0,30,25
"2024-11-30 [02:45, 03:00)",London,9.2,87,9.7,12.025,16.095,312.65,40.515,45.0,30,25
"2024-11-30 [03:15, 03:30)",London,10.3,82,9.7,12.025,15.91,308.95,39.22,43.0,31,25
"2024-11-30 [03:30, 03:45)",London,10.3,82,9.7,12.025,15.91,308.95,39.22,43.0,31,25
"2024-11-30 [03:45, 04:00)",London,10.2,87,9.7,12.025,15.91,308.95,39.22,43.0,31,25
"2024-11-30 [04:00, 04:15)",London,10.0,94,9.0,12.025,16.28,307.1,31.82,40.0,31,25
"2024-11-30 [04:30, 04:45)",London,10.0,94,9.0,12.025,16.28,307.1,31.82,40.0,31,25
"2024-11-30 [04:45, 05:00)",London,10.2,94,9.0,12.025,16.28,307.1,31.82,40.0,32,25
"2024-11-30 [05:00, 05:15)",London,10.0,94,8.3,12.58,17.205,305.25,30.71,39.0,32,25
"2024-11-30 [05:15, 05:30)",London,10.1,94,8.3,12.58,17.205,305.25,30.71,39.0,32,25
"2024-11-30 [05:30, 05:45)",London,10.3,100,8.3,12.58,17.205,305.25,30.71,39.0,32,25
"2024-11-30 [06:00, 06:15)",London,10.2,100,8.3,15.54,20.35,308.95,35.15,39.0,32,25
"2024-11-30 [06:15, 06:30)",London,11.2,94,8.6,15.54,20.35,308.95,35.15,39.0,32,26
"2024-11-30 [06:45, 07:00)",London,11.3,94,8.6,15.54,20.35,308.95,35.15,39.0,32,26
"2024-11-30 [07:00, 07:15)",London,11.3,94,9.7,17.945,24.975,331.15,49.21,26.0,32,26
"2024-11-30 [07:30, 07:45)",London,11.1,94,9.7,17.945,24.975,331.15,49.21,26.0,32,26
"2024-11-30 [07:15, 07:30)",London,11.3,100,9.7,17.945,24.975,331.15,49.21,26.0,32,26
"2024-11-30 [07:45, 08:00)",London,11.0,100,9.7,17.945,24.975,331.15,49.21,26.0,33,26
"2024-11-30 [08:00, 08:15)",London,11.2,100,9.0,19.24,28.86,371.85,71.595,22.0,33,26
"2024-11-30 [08:15, 08:30)",London,12.0,94,9.0,19.24,28.86,371.85,71.595,22.0,34,26
"2024-11-30 [08:45, 09:00)",London,12.4,94,9.0,19.24,28.86,371.85,71.595,22.0,36,27
"2024-11-30 [09:00, 09:15)",London,12.3,94,7.9,19.055,23.865,405.15,69.56,24.0,36,26
"2024-11-30 [09:15, 09:30)",London,12.3,94,7.9,19.055,23.865,405.15,69.56,24.0,36,26
"2024-11-30 [09:30, 09:45)",London,12.4,100,7.9,19.055,23.865,405.15,69.56,24.0,35,26
"2024-11-30 [09:45, 10:00)",London,10.2,100,7.9,19.055,23.865,405.15,69.56,24.0,35,26
"2024-11-30 [10:00, 10:15)",London,12.3,100,7.6,20.535,25.9,418.1,74.555,21.0,35,26
"2024-11-30 [10:15, 10:30)",London,12.4,100,7.6,20.535,25.9,418.1,74.555,21.0,35,26
"2024-11-30 [10:30, 10:45)",London,13.4,94,7.6,20.535,25.9,418.1,74.555,21.0,35,26
"2024-11-30 [10:45, 11:00)",London,13.4,94,7.6,20.535,25.9,418.1,74.555,21.0,35,26
"2024-11-30 [11:15, 11:30)",London,13.2,94,8.6,18.13,26.085,340.4,59.57,26.0,35,26
"2024-11-30 [11:30, 11:45)",London,14.1,88,8.6,18.13,26.085,340.4,59.57,26.0,35,26
"2024-11-30 [12:00, 12:15)",London,14.1,88,9.7,15.54,27.38,336.7,57.535,33.0,36,26
"2024-11-30 [12:30, 12:45)",London,14.3,88,9.7,15.54,27.38,336.7,57.535,33.0,36,26
"2024-11-30 [12:45, 13:00)",London,14.4,88,9.7,15.54,27.38,336.7,57.535,33.0,36,26
"2024-11-30 [13:15, 13:30)",London,14.4,88,10.8,15.54,27.01,323.75,57.72,35.0,36,26
"2024-11-30 [13:30, 13:45)",London,14.4,88,10.8,15.54,27.01,323.75,57.72,35.0,37,26
"2024-11-30 [13:45, 14:00)",London,14.1,88,10.8,15.54,27.01,323.75,57.72,35.0,37,26
"2024-11-30 [14:15, 14:30)",London,15.3,82,12.6,14.8,24.975,325.6,59.94,34.0,37,26
"2024-11-30 [14:45, 15:00)",London,15.3,82,12.6,14.8,24.975,325.6,59.94,34.0,38,26
"2024-11-30 [15:00, 15:15)",London,15.3,82,12.2,14.985,23.68,334.85,62.715,30.0,38,26
"2024-11-30 [15:15, 15:30)",London,14.2,88,12.2,14.985,23.68,334.85,62.715,30.0,38,26
"2024-11-30 [15:30, 15:45)",London,14.0,82,12.2,14.985,23.68,334.85,62.715,30.0,38,26
"2024-11-30 [15:45, 16:00)",London,14.0,82,12.2,14.985,23.68,334.85,62.715,30.0,38,26
"2024-11-30 [16:00, 16:15)",London,14.2,82,11.2,15.91,24.42,336.7,66.785,18.0,38,26
"2024-11-30 [16:15, 16:30)",London,14.4,82,11.2,15.91,24.42,336.7,66.785,18.0,38,26
"2024-11-30 [16:30, 16:45)",London,14.3,82,11.2,15.91,24.42,336.7,66.785,18.0,38,26
"2024-11-30 [16:45, 17:00)",London,14.3,82,11.2,15.91,24.42,336.7,66.785,18.0,38,26
"2024-11-30 [17:00, 17:15)",London,14.1,82,11.5,17.205,25.715,342.25,62.715,18.0,38,26
"2024-11-30 [17:15, 17:30)",London,14.1,82,11.5,17.205,25.715,342.25,62.715,18.0,38,26
"2024-11-30 [17:30, 17:45)",London,13.0,94,11.5,17.205,25.715,342.25,62.715,18.0,38,26
"2024-11-30 [18:00, 18:15)",London,13.3,94,12.2,17.76,25.345,342.25,62.16,19.0,38,26
"2024-11-30 [17:45, 18:00)",London,13.3,94,11.5,17.205,25.715,342.25,62.715,18.0,38,26
"2024-11-30 [18:30, 18:45)",London,13.1,94,12.2,17.76,25.345,342.25,62.16,19.0,39,26
"2024-11-30 [18:15, 18:30)",London,13.1,94,12.2,17.76,25.345,342.25,62.16,19.0,38,26
"2024-11-30 [18:45, 19:00)",London,13.2,94,12.2,17.76,25.345,342.25,62.16,19.0,39,26
"2024-11-30 [19:15, 19:30)",London,13.3,94,12.2,17.205,24.05,325.6,59.015,24.0,39,26
"2024-11-30 [19:30, 19:45)",London,13.0,94,12.2,17.205,24.05,325.6,59.015,24.0,39,26
"2024-11-30 [19:45, 20:00)",London,13.1,94,12.2,17.205,24.05,325.6,59.015,24.0,39,26
"2024-11-30 [20:15, 20:30)",London,13.1,94,12.6,15.91,22.015,310.8,56.61,27.0,40,26
"2024-11-30 [20:00, 20:15)",London,13.1,94,12.6,15.91,22.015,310.8,56.61,27.0,39,26
"2024-11-30 [20:30, 20:45)",London,13.4,94,12.6,15.91,22.015,310.8,56.61,27.0,40,26
"2024-11-30 [20:45, 21:00)",London,12.2,94,12.6,15.91,22.015,310.8,56.61,27.0,40,26
"2024-11-30 [21:15, 21:30)",London,13.1,94,12.6,14.8,20.72,296.0,49.395,31.0,40,26
"2024-11-30 [21:30, 21:45)",London,13.1,94,12.6,14.8,20.72,296.0,49.395,31.0,39,26
"2024-11-30 [21:45, 22:00)",London,12.1,94,12.6,14.8,20.72,296.0,49.395,31.0,39,26
"2024-11-30 [22:15, 22:30)",London,12.1,94,14.0,13.875,18.685,288.6,45.325,32.0,39,26
"2024-11-30 [22:30, 22:45)",London,12.1,94,14.0,13.875,18.685,288.6,45.325,32.0,39,26
"2024-11-30 [22:45, 23:00)",London,11.1,94,14.0,13.875,18.685,288.6,45.325,32.0,39,26
"2024-11-30 [23:00, 23:15)",London,11.1,94,13.3,13.135,18.13,288.6,38.48,39.0,39,26
"2024-11-30 [23:15, 23:30)",London,11.3,94,13.3,13.135,18.13,288.6,38.48,39.0,39,26
"2024-11-30 [23:30, 23:45)",London,11.4,94,13.3,13.135,18.13,288.6,38.48,39.0,39,26
"2024-11-30 [23:45, 00:00)",London,11.3,94,13.3,13.135,18.13,288.6,38.48,39.0,39,26
"2024-12-01 [00:00, 00:15)",London,11.3,94,13.3,11.47,17.02,286.75,28.86,48.0,39,26
"2024-12-01 [00:30, 00:45)",London,11.4,94,14.8,11.47,17.02,286.75,28.86,48.0,38,26
"2024-12-01 [01:00, 01:15)",London,11.4,94,14.8,11.47,17.02,286.75,28.86,48.0,38,26
"2024-12-01 [01:15, 01:30)",London,12.2,94,14.8,11.47,17.02,286.75,28.86,48.0,38,26
"2024-12-01 [01:30, 01:45)",London,12.4,94,14.8,11.47,17.02,286.75,28.86,48.0,39,26
"2024-12-01 [01:45, 02:00)",London,12.4,88,14.8,11.47,17.02,286.75,28.86,48.0,39,26
"2024-12-01 [02:00, 02:15)",London,12.3,88,15.5,11.655,16.835,290.45,26.27,46.0,39,26
"2024-12-01 [02:15, 02:30)",London,12.3,88,15.5,11.655,16.835,290.45,26.27,46.0,39,26
"2024-12-01 [02:45, 03:00)",London,11.1,94,15.5,11.655,16.835,290.45,26.27,46.0,39,26
"2024-12-01 [03:00, 03:15)",London,11.2,94,17.6,12.21,16.465,281.2,23.495,48.0,40,26
"2024-12-01 [03:15, 03:30)",London,11.3,94,17.6,12.21,16.465,281.2,23.495,48.0,40,26
"2024-12-01 [03:30, 03:45)",London,11.1,94,17.6,12.21,16.465,281.2,23.495,48.0,40,26
"2024-12-01 [03:45, 04:00)",London,11.0,94,17.6,12.21,16.465,281.2,23.495,48.0,40,26
"2024-12-01 [04:00, 04:15)",London,11.2,94,18.7,12.21,16.28,270.1,19.61,54.0,40,26
"2024-12-01 [04:15, 04:30)",London,11.2,94,18.7,12.21,16.28,270.1,19.61,54.0,39,26
"2024-12-01 [04:30, 04:45)",London,11.1,94,18.7,12.21,16.28,270.1,19.61,54.0,39,26
"2024-12-01 [04:45, 05:00)",London,11.1,94,18.7,12.21,16.28,270.1,19.61,54.0,39,26
"2024-12-01 [05:00, 05:15)",London,11.0,94,19.1,9.99,15.54,270.1,17.575,59.0,39,26
"2024-12-01 [05:15, 05:30)",London,11.4,94,19.1,9.99,15.54,270.1,17.575,59.0,39,26
"2024-12-01 [05:30, 05:45)",London,11.2,94,19.1,9.99,15.54,270.1,17.575,59.0,39,25
"2024-12-01 [05:45, 06:00)",London,11.0,94,19.1,9.99,15.54,270.1,17.575,59.0,39,25
"2024-12-01 [06:00, 06:15)",London,11.2,94,19.4,10.915,15.355,275.65,22.385,56.0,39,25
"2024-12-01 [06:15, 06:30)",London,11.0,94,19.4,10.915,15.355,275.65,22.385,56.0,39,25
"2024-12-01 [06:30, 06:45)",London,11.2,94,19.4,10.915,15.355,275.65,22.385,56.0,39,25
"2024-12-01 [06:45, 07:00)",London,12.4,88,19.4,10.915,15.355,275.65,22.385,56.0,39,25
"2024-12-01 [07:00, 07:15)",London,12.1,88,20.5,12.21,15.54,292.3,32.93,47.0,39,25
"2024-12-01 [07:15, 07:30)",London,12.1,94,20.5,12.21,15.54,292.3,32.93,47.0,39,25
"2024-12-01 [07:30, 07:45)",London,12.3,94,20.5,12.21,15.54,292.3,32.93,47.0,39,25
"2024-12-01 [07:45, 08:00)",London,12.0,94,20.5,12.21,15.54,292.3,32.93,47.0,39,25
"2024-12-01 [08:15, 08:30)",London,12.3,94,20.5,12.21,16.28,316.35,42.18,44.0,39,25
"2024-12-01 [08:30, 08:45)",London,12.3,94,20.5,12.21,16.28,316.35,42.18,44.0,39,25
"2024-12-01 [08:45, 09:00)",London,12.3,94,20.5,12.21,16.28,316.35,42.18,44.0,39,25
"2024-12-01 [09:00, 09:15)",London,12.2,94,18.7,13.135,16.835,308.95,45.88,43.0,39,25
"2024-12-01 [09:15, 09:30)",London,13.2,88,18.7,13.135,16.835,308.95,45.88,43.0,39,25
"2024-12-01 [09:30, 09:45)",London,13.2,88,18.7,13.135,16.835,308.95,45.88,43.0,39,25
"2024-12-01 [09:45, 10:00)",London,13.1,88,18.7,13.135,16.835,308.95,45.88,43.0,39,25
"2024-12-01 [10:15, 10:30)",London,13.2,88,18.7,11.655,18.87,294.15,46.805,45.0,39,25
"2024-12-01 [10:00, 10:15)",London,13.2,88,18.7,11.655,18.87,294.15,46.805,45.0,39,25
"2024-12-01 [10:30, 10:45)",London,12.3,94,15.1,11.47,17.02,286.75,28.86,48.0,39,25
"2024-12-01 [11:00, 11:15)",London,12.4,94,16.9,14.245,20.72,297.85,42.92,45.0,40,25
"2024-12-01 [10:45, 11:00)",London,12.3,94,18.7,11.655,18.87,294.15,46.805,45.0,39,25
"2024-12-01 [11:15, 11:30)",London,12.2,94,16.9,14.245,20.72,297.85,42.92,45.0,40,25
"2024-12-01 [11:45, 12:00)",London,12.0,94,16.2,14.245,16.835,305.25,34.78,41.0,41,26
"2024-12-01 [12:00, 12:15)",London,12.2,94,14.4,12.95,18.315,299.7,32.005,42.0,41,26
"2024-12-01 [12:15, 12:30)",London,12.0,100,14.4,12.95,18.315,299.7,32.005,42.0,41,26
"2024-12-01 [12:30, 12:45)",London,12.1,100,14.4,12.95,18.315,299.7,32.005,42.0,41,26
"2024-12-01 [12:45, 13:00)",London,12.3,100,14.4,12.95,18.315,299.7,32.005,42.0,42,26
"2024-12-01 [13:00, 13:15)",London,12.4,100,14.4,12.395,21.83,292.3,31.08,42.0,42,26
"2024-12-01 [13:15, 13:30)",London,12.4,100,14.4,12.395,21.83,292.3,31.08,42.0,43,26
"2024-12-01 [13:30, 13:45)",London,12.4,100,14.4,12.395,21.83,292.3,31.08,42.0,42,25
"2024-12-01 [13:45, 14:00)",London,12.2,100,14.4,12.395,21.83,292.3,31.08,42.0,43,25
"2024-12-01 [14:00, 14:15)",London,12.4,100,14.8,11.655,15.355,284.9,32.19,44.0,44,24
"2024-12-01 [14:15, 14:30)",London,12.4,100,14.8,11.655,15.355,284.9,32.19,44.0,44,24
"2024-12-01 [14:30, 14:45)",London,13.3,94,14.8,11.655,15.355,284.9,32.19,44.0,45,24
"2024-12-01 [14:45, 15:00)",London,13.1,100,14.8,11.655,15.355,284.9,32.19,44.0,45,24
"2024-12-01 [15:00, 15:15)",London,13.1,100,14.4,9.25,11.47,273.8,34.225,41.0,46,24
"2024-12-01 [15:15, 15:30)",London,13.1,100,14.4,9.25,11.47,273.8,34.225,41.0,46,24
"2024-12-01 [15:45, 16:00)",London,13.2,100,14.4,9.25,11.47,273.8,34.225,41.0,46,23
"2024-12-01 [16:00, 16:15)",London,13.2,100,15.1,8.695,12.395,279.35,38.85,38.0,45,23
"2024-12-01 [16:15, 16:30)",London,13.2,88,15.1,8.695,12.395,279.35,38.85,38.0,44,23
"2024-12-01 [16:30, 16:45)",London,12.2,88,15.1,8.695,12.395,279.35,38.85,38.0,44,23
"2024-12-01 [16:45, 17:00)",London,12.2,88,15.1,8.695,12.395,279.35,38.85,38.0,43,23
"2024-12-01 [17:00, 17:15)",London,12.2,88,16.2,9.805,12.765,275.65,49.58,36.0,44,24
"2024-12-01 [17:15, 17:30)",London,12.1,88,16.2,9.805,12.765,275.65,49.58,36.0,45,24
"2024-12-01 [17:30, 17:45)",London,12.4,94,16.2,9.805,12.765,275.65,49.58,36.0,46,24
"2024-12-01 [18:00, 18:15)",London,12.1,94,15.8,12.025,14.8,284.9,54.945,37.0,47,24
"2024-12-01 [17:45, 18:00)",London,12.1,94,16.2,9.805,12.765,275.65,49.58,36.0,46,24
"2024-12-01 [18:30, 18:45)",London,12.0,94,15.8,12.025,14.8,284.9,54.945,37.0,48,24
"2024-12-01 [19:15, 19:30)",London,12.0,94,16.2,11.47,17.945,283.05,52.91,49.0,46,24
"2024-12-01 [19:00, 19:15)",London,12.0,94,16.2,11.47,17.945,283.05,52.91,49.0,47,24
"2024-12-01 [19:30, 19:45)",London,12.4,94,16.2,11.47,17.945,283.05,52.91,49.0,46,24
"2024-12-01 [20:00, 20:15)",London,12.4,94,16.6,10.73,17.02,277.5,41.255,53.0,46,24
"2024-12-01 [20:15, 20:30)",London,12.4,94,16.6,10.73,17.02,277.5,41.255,53.0,46,25
"2024-12-01 [20:30, 20:45)",London,13.1,88,16.6,10.73,17.02,277.5,41.255,53.0,46,25
"2024-12-01 [20:45, 21:00)",London,13.3,88,16.6,10.73,17.02,277.5,41.255,53.0,46,25
"2024-12-01 [21:30, 21:45)",London,12.4,88,18.4,9.805,17.575,279.35,34.225,54.0,46,25
"2024-12-01 [21:15, 21:30)",London,12.4,88,18.4,9.805,17.575,279.35,34.225,54.0,46,25
"2024-12-01 [21:45, 22:00)",London,12.2,88,18.4,9.805,17.575,279.35,34.225,54.0,46,25
"2024-12-01 [22:00, 22:15)",London,12.2,88,16.6,9.62,17.76,277.5,30.525,54.0,46,25
"2024-12-01 [22:15, 22:30)",London,12.0,88,16.6,9.62,17.76,277.5,30.525,54.0,45,25
"2024-12-01 [22:30, 22:45)",London,12.2,88,16.6,9.62,17.76,277.5,30.525,54.0,45,25
"2024-12-01 [22:45, 23:00)",London,12.3,88,16.6,9.62,17.76,277.5,30.525,54.0,45,25
"2024-12-01 [23:15, 23:30)",London,12.3,94,15.1,9.065,17.02,270.1,27.195,57.0,45,25
"2024-12-01 [23:30, 23:45)",London,12.3,88,15.1,9.065,17.02,270.1,27.195,57.0,45,25
"2024-12-02 [00:00, 00:15)",London,12.1,88,15.1,7.215,13.135,262.7,20.72,56.0,45,25
"2024-12-02 [00:30, 00:45)",London,12.3,88,15.1,7.215,13.135,262.7,20.72,56.0,45,25
"2024-12-02 [00:15, 00:30)",London,12.3,88,15.1,7.215,13.135,262.7,20.72,56.0,45,25
"2024-12-02 [00:45, 01:00)",London,12.3,88,15.1,7.215,13.135,262.7,20.72,56.0,45,25
"2024-12-02 [01:15, 01:30)",London,11.3,94,15.1,7.215,13.135,262.7,20.72,56.0,44,25
"2024-12-02 [01:30, 01:45)",London,11.2,94,15.1,7.215,13.135,262.7,20.72,56.0,44,25
