time_range,city,outdoor_temperature,outdoor_humidity,outdoor_wind_speed,outdoor_pm2_5,outdoor_pm10,outdoor_co,outdoor_no2,outdoor_o3,indoor_humidity,indoor_temperature
"2024-11-26 [06:45, 07:00)",London,6.3,87,11.9,9.435,17.945,281.2,26.27,59.0,34,24
"2024-11-26 [07:00, 07:15)",London,6.0,87,10.1,11.47,19.98,294.15,53.465,40.0,34,24
"2024-11-26 [07:15, 07:30)",London,6.0,81,10.1,11.47,19.98,294.15,53.465,40.0,34,24
"2024-11-26 [07:30, 07:45)",London,6.0,81,10.1,11.47,19.98,294.15,53.465,40.0,34,24
"2024-11-26 [07:45, 08:00)",London,6.1,81,10.1,11.47,19.98,294.15,53.465,40.0,34,24
"2024-11-26 [08:00, 08:15)",London,6.1,81,9.7,13.875,24.42,333.0,88.615,26.0,34,24
"2024-11-26 [08:15, 08:30)",London,6.2,81,9.7,13.875,24.42,333.0,88.615,26.0,34,24
"2024-11-26 [08:45, 09:00)",London,5.1,87,9.7,13.875,24.42,333.0,88.615,26.0,34,24
"2024-11-26 [09:00, 09:15)",London,5.4,87,10.8,16.465,28.86,366.3,90.28,28.0,34,24
"2024-11-26 [09:15, 09:30)",London,5.3,87,10.8,16.465,28.86,366.3,90.28,28.0,34,24
"2024-11-26 [09:30, 09:45)",London,5.3,87,10.8,16.465,28.86,366.3,90.28,28.0,34,24
"2024-11-26 [09:45, 10:00)",London,7.3,81,10.8,16.465,28.86,366.3,90.28,28.0,35,24
"2024-11-26 [10:00, 10:15)",London,7.3,81,12.2,14.06,26.64,345.95,69.745,45.0,34,23
"2024-11-26 [10:15, 10:30)",London,8.4,76,12.2,14.06,26.64,345.95,69.745,45.0,32,21
"2024-11-26 [10:30, 10:45)",London,8.4,76,12.2,14.06,26.64,345.95,69.745,45.0,33,21
"2024-11-26 [10:45, 11:00)",London,8.4,76,12.2,14.06,26.64,345.95,69.745,45.0,33,20
"2024-11-26 [11:15, 11:30)",London,9.0,71,13.0,12.58,23.125,340.4,58.275,50.0,33,20
"2024-11-26 [11:30, 11:45)",London,9.3,76,13.0,12.58,23.125,340.4,58.275,50.0,34,20
"2024-11-26 [11:45, 12:00)",London,9.2,76,13.0,13.505,24.235,353.35,64.935,47.0,34,20
"2024-11-26 [12:00, 12:15)",London,9.4,76,12.6,11.84,22.015,347.8,57.165,49.0,34,19
"2024-11-26 [12:30, 12:45)",London,10.3,71,12.6,11.84,22.015,347.8,57.165,49.0,34,19
"2024-11-26 [12:45, 13:00)",London,10.1,71,12.6,11.84,22.015,347.8,57.165,49.0,34,19
"2024-11-26 [13:00, 13:15)",London,10.0,71,13.0,11.655,21.46,340.4,56.61,49.0,35,20
"2024-11-26 [13:15, 13:30)",London,11.1,66,13.0,11.655,21.46,340.4,56.61,49.0,35,21
"2024-11-26 [13:30, 13:45)",London,11.4,62,13.0,11.655,21.46,340.4,56.61,49.0,35,21
"2024-11-26 [13:45, 14:00)",London,11.2,62,13.0,11.655,21.46,340.4,56.61,49.0,36,21
"2024-11-26 [14:00, 14:15)",London,11.0,62,11.5,13.505,24.05,342.25,62.715,46.0,35,21
"2024-11-26 [14:15, 14:30)",London,11.2,62,11.5,13.505,24.05,342.25,62.715,46.0,35,21
"2024-11-26 [14:30, 14:45)",London,11.2,62,11.5,13.505,24.05,342.25,62.715,46.0,35,21
"2024-11-26 [14:45, 15:00)",London,10.3,66,11.5,13.505,24.05,342.25,62.715,46.0,35,21
